N,P,K,temperature,humidity,ph,rainfall,label
64.49,28.94,32.46,25.1,63.17,7.18,73.49,Groundnut
36.07,38.81,24.16,23.77,43.66,5.54,50.65,Horse Gram
63.43,27.11,30.88,28.31,46.52,7.06,48.41,Sorghum
101.93,42.98,82.33,23.43,55.01,6.37,76.55,Pomegranate
50.87,28.38,29.99,26.49,58.31,6.73,77.68,Black Gram
25.55,37.76,31.21,13.76,60.05,7.24,41.71,Peas
38.63,32.2,32.35,28.09,64.94,7.13,65.7,Black Gram
70.69,35.46,57.84,22.61,59.46,6.44,53.0,Garlic
34.43,38.55,27.06,18.87,59.95,6.64,115.66,Rajma
61.46,30.23,36.39,30.37,45.99,6.86,68.5,Pearl Millet
48.39,24.02,31.0,25.92,50.38,7.34,36.58,Safflower
90.28,56.45,58.85,20.87,57.75,6.3,58.93,Onion
53.26,31.87,58.08,24.96,71.99,6.26,78.36,Cucumber
45.31,30.45,24.47,35.91,50.83,7.07,121.83,Red Gram
77.7,32.31,44.08,31.22,61.7,6.69,63.27,Okra
45.33,25.39,33.78,19.66,45.82,6.9,50.04,Linseed
91.12,52.45,68.58,13.63,66.02,6.45,138.91,Apple
37.5,28.56,26.57,29.9,49.64,6.36,84.33,Green Gram
60.23,27.64,27.26,28.37,48.74,6.8,102.15,Castor
31.42,37.54,34.73,19.09,54.94,6.17,90.12,Rajma
65.01,44.77,40.88,28.84,68.87,6.55,55.75,Cucumber
106.27,45.64,63.81,22.84,89.88,5.15,174.14,Tea
55.61,28.96,69.67,33.68,67.49,6.86,66.16,Bottle Gourd
97.48,43.89,45.83,33.48,78.65,5.61,232.32,Rice
31.11,25.2,26.48,28.46,52.42,6.54,89.98,Field Bean
48.51,26.89,60.05,27.95,64.04,6.79,98.72,Bottle Gourd
83.63,50.42,71.25,24.84,82.36,5.65,232.97,Coffee
54.63,40.51,60.74,23.19,60.56,6.26,56.69,Carrot
74.32,51.66,47.85,22.07,46.49,6.22,113.38,Apple
42.9,24.15,21.07,27.47,57.95,6.81,74.27,Field Bean
87.39,67.0,79.43,17.59,70.17,5.73,57.89,Potato
46.07,28.86,42.15,20.35,66.36,6.37,83.08,Rajma
67.34,34.82,26.31,13.35,48.78,7.09,45.96,Mustard
40.4,22.08,36.23,25.2,60.93,5.41,85.88,Kodo Millet
50.0,27.54,24.01,25.54,50.08,7.19,48.22,Safflower
27.87,25.72,18.3,28.72,58.74,6.63,52.48,Horse Gram
31.92,25.98,18.73,31.9,52.32,6.43,89.35,Red Gram
75.67,38.36,28.95,18.14,36.49,6.55,32.24,Barley
107.38,48.03,49.72,30.56,87.21,5.69,220.12,Rice
53.01,26.71,57.99,27.17,71.85,5.58,76.16,Pumpkin
77.52,45.76,68.9,20.02,74.76,6.33,77.65,Tomato
36.74,22.05,28.47,21.25,47.92,6.23,56.79,Safflower
59.05,34.24,41.32,23.42,57.56,6.51,96.85,Little Millet
49.65,22.92,31.0,35.02,57.75,7.01,56.64,Pearl Millet
112.99,50.98,48.77,26.13,69.47,6.52,265.17,Rice
88.42,53.47,62.98,27.89,70.75,6.57,71.54,Brinjal
27.81,27.98,25.92,31.32,45.96,7.55,58.3,Green Gram
39.29,27.49,32.74,24.5,47.88,7.04,59.34,Chickpea
63.35,34.16,50.01,20.0,64.22,6.71,63.43,Beetroot
78.16,49.47,70.15,27.22,63.07,5.98,50.72,Onion
53.94,50.4,55.44,27.62,66.48,6.7,81.94,Cucumber
61.49,30.08,64.24,25.0,68.16,5.49,67.66,Bottle Gourd
53.77,21.38,41.34,29.88,71.81,7.04,85.29,Pumpkin
32.69,26.85,30.97,21.18,58.65,7.08,64.52,Safflower
57.96,31.47,53.46,24.44,63.55,6.4,82.51,Cashew
92.69,55.84,97.89,26.15,74.49,6.61,221.78,Coconut
33.15,24.62,30.89,28.45,37.91,6.68,68.17,Safflower
43.85,33.58,25.84,13.45,49.99,6.51,55.1,Mustard
74.94,29.54,76.12,28.17,52.93,6.29,73.56,Pomegranate
83.51,57.72,63.34,23.32,77.16,6.24,191.56,Coffee
27.01,35.2,29.94,16.37,57.78,6.31,52.23,Rajma
55.18,31.63,19.55,25.09,62.74,6.33,80.75,Finger Millet
71.39,38.78,71.29,26.82,69.61,6.29,115.39,Guava
85.15,48.0,76.63,31.78,73.08,6.43,293.55,Arecanut
56.77,34.83,28.65,27.39,59.86,6.67,98.29,Kodo Millet
86.54,43.72,86.84,24.76,64.77,6.86,103.5,Guava
53.91,24.83,29.55,29.13,50.14,6.51,100.48,Sesame
60.83,33.35,25.75,30.93,65.39,6.58,94.55,Castor
36.18,33.3,33.66,31.39,47.62,6.12,85.86,Cowpea
89.31,41.81,107.12,32.41,55.8,6.34,141.0,Mango
79.74,46.73,62.01,29.19,55.67,6.16,159.41,Litchi
75.49,40.38,31.69,15.9,58.59,6.95,48.57,Barley
61.81,28.39,57.65,21.15,54.11,6.58,53.86,Carrot
62.89,36.29,27.53,21.1,45.36,7.22,74.49,Sunflower
56.61,29.65,67.35,28.74,69.34,7.23,80.57,Bottle Gourd
81.91,47.75,21.33,19.01,56.24,6.42,53.48,Wheat
83.93,44.81,96.44,35.71,76.32,7.78,213.04,Coconut
109.51,67.55,90.5,33.21,71.35,6.17,176.5,Mango
53.69,49.76,38.01,24.46,59.0,6.93,81.71,Okra
76.37,37.13,49.9,21.66,83.57,5.84,173.96,Coffee
86.89,47.9,57.88,20.09,60.57,6.59,89.99,Chilli
113.62,51.64,96.74,30.03,58.79,6.53,76.62,Grapes
61.59,38.42,58.47,25.78,61.25,6.14,77.17,Okra
67.02,23.51,66.38,27.28,63.78,6.35,54.25,Bottle Gourd
43.68,30.12,24.45,24.83,41.84,6.45,74.04,Kodo Millet
44.32,33.74,24.66,29.52,61.01,6.27,93.02,Groundnut
100.54,43.57,82.65,22.8,84.65,5.94,163.59,Coffee
81.1,63.18,104.41,26.25,48.88,6.42,198.88,Mango
33.57,28.8,30.12,29.97,55.86,5.76,66.84,Cowpea
46.82,32.95,26.72,19.95,49.27,7.15,52.85,Lentil
68.25,30.09,59.16,27.76,67.23,6.03,158.61,Cashew
45.87,33.39,27.24,24.08,57.16,6.38,99.68,Foxtail Millet
64.8,35.18,70.79,18.44,58.58,6.74,59.01,Beetroot
53.74,32.63,38.18,21.36,60.57,6.75,49.58,Radish
45.97,34.43,31.68,30.31,55.76,6.88,69.67,Green Gram
83.92,47.41,40.27,18.14,68.24,6.25,59.79,Cauliflower
92.55,39.13,66.03,30.01,87.89,5.81,307.05,Rubber
46.77,33.24,27.69,23.43,41.52,6.39,34.87,Safflower
78.42,25.61,31.96,15.0,49.56,6.43,63.41,Mustard
69.03,34.42,61.61,27.33,72.12,6.09,73.41,Bottle Gourd
91.3,62.81,107.86,23.09,69.97,6.58,130.35,Orange
41.51,24.28,36.66,26.17,62.2,7.04,115.22,Soybean
38.15,27.05,63.83,18.44,64.11,6.52,43.06,Beetroot
86.68,54.49,67.26,21.61,77.91,6.28,73.97,Cabbage
83.36,36.45,31.15,24.82,66.28,6.3,134.36,Maize
24.15,34.38,34.99,31.17,51.86,6.67,73.67,Cowpea
40.39,32.94,25.3,33.23,58.39,6.98,64.63,Groundnut
37.28,33.75,21.71,13.19,71.23,6.94,60.0,Peas
70.47,55.69,62.74,15.12,55.13,6.4,51.16,Garlic
76.57,45.95,96.52,28.62,91.89,5.55,279.2,Coconut
89.65,45.55,36.45,20.69,57.31,6.76,62.2,Barley
35.05,25.49,19.72,23.18,43.15,6.63,56.81,Peas
79.5,51.31,77.06,23.27,60.71,6.52,57.26,Pomegranate
68.62,30.13,26.44,27.66,62.18,6.64,49.59,Sunflower
64.34,32.22,61.36,29.52,73.34,7.32,145.15,Cashew
18.6,24.64,16.77,26.38,48.49,6.66,87.4,Field Bean
45.84,31.38,20.72,32.44,44.29,6.26,67.89,Cowpea
113.59,42.6,42.52,30.5,72.73,6.53,267.34,Rice
83.78,41.02,86.05,27.68,50.75,6.54,75.14,Pomegranate
42.42,29.8,26.98,14.26,51.36,6.23,74.91,Peas
104.03,60.06,62.34,27.45,89.86,5.4,216.84,Rubber
42.31,35.37,27.51,20.91,52.55,6.76,62.27,Peas
71.52,33.1,62.91,19.44,67.21,6.59,69.25,Beetroot
45.64,35.31,21.26,26.45,55.15,6.04,47.62,Kodo Millet
109.01,51.08,77.51,20.25,80.54,5.81,235.92,Arecanut
40.61,29.86,21.54,28.42,45.96,6.98,110.38,Field Bean
47.25,28.45,33.39,28.94,42.54,6.01,83.47,Kodo Millet
59.26,62.07,63.74,27.02,70.58,6.71,79.97,Brinjal
49.99,30.67,34.31,24.09,51.81,6.75,37.73,Safflower
72.17,25.35,67.22,31.65,69.68,6.88,90.37,Pumpkin
43.39,29.41,38.37,30.96,42.39,6.52,74.26,Sesame
93.37,37.29,59.9,24.75,74.36,5.49,187.89,Coffee
83.49,29.98,31.74,27.04,49.72,6.82,85.14,Sunflower
57.95,34.48,64.82,30.95,62.51,5.91,121.46,Cashew
53.01,30.31,31.14,28.5,47.26,6.71,76.52,Sunflower
38.69,27.6,41.93,16.38,55.11,6.62,46.33,Chickpea
62.76,45.81,43.94,24.26,67.98,6.44,38.89,Okra
71.33,26.96,22.38,32.9,60.58,6.16,73.16,Castor
108.32,55.97,83.16,26.23,86.54,5.55,262.74,Rubber
29.74,26.88,32.99,27.54,57.23,6.63,61.68,Cowpea
85.28,40.77,81.2,26.17,83.68,6.64,222.13,Pineapple
60.87,26.79,57.45,19.99,66.9,7.3,50.77,Beetroot
42.5,36.83,34.89,21.65,69.8,5.99,58.43,Peas
36.59,25.1,29.22,29.86,56.24,7.06,61.44,Green Gram
68.52,52.44,28.78,30.28,63.81,6.88,86.97,Maize
109.68,49.26,48.38,29.83,79.49,6.1,172.61,Rice
74.17,44.6,38.71,31.81,80.2,7.21,69.48,Cucumber
42.49,34.23,26.05,30.06,55.79,5.58,90.2,Cowpea
38.47,26.3,17.26,14.12,48.96,6.57,55.98,Peas
96.86,63.09,98.3,19.96,67.76,4.95,68.12,Potato
86.34,86.14,114.88,28.05,70.97,5.82,143.36,Papaya
66.39,52.73,72.91,28.71,56.77,6.75,75.1,Pomegranate
100.62,45.7,59.33,24.39,57.79,6.99,67.32,Chilli
96.8,77.14,51.09,27.77,63.17,6.77,75.6,Chilli
51.26,30.26,29.63,16.67,52.01,6.67,52.47,Mustard
28.73,36.37,27.84,29.12,54.86,7.03,63.35,Horse Gram
76.3,55.69,49.83,27.78,70.46,6.88,64.9,Chilli
41.32,35.0,32.32,23.13,52.63,6.43,88.53,Rajma
42.03,37.53,38.0,24.48,54.96,7.01,101.33,Foxtail Millet
22.82,25.89,21.89,21.7,62.05,6.21,78.73,Rajma
38.31,35.47,24.67,25.98,37.24,6.03,52.41,Horse Gram
77.19,48.18,78.58,24.88,59.26,6.66,56.08,Onion
111.01,50.3,42.2,26.03,94.53,4.56,239.14,Tea
106.77,56.45,72.89,27.69,77.36,4.91,243.51,Rubber
108.32,68.84,86.58,30.25,52.24,6.97,135.13,Mango
81.56,39.06,68.03,24.83,71.97,6.59,68.67,Onion
87.88,42.93,106.26,24.25,82.23,5.85,112.35,Litchi
37.92,29.72,37.44,30.46,62.22,6.37,98.56,Field Bean
50.52,23.71,25.47,26.36,67.45,6.48,125.82,Kodo Millet
132.0,51.76,138.38,31.63,86.38,7.12,204.53,Banana
34.48,27.03,39.32,20.73,48.22,6.6,70.83,Chickpea
63.49,35.33,24.05,30.5,51.59,7.05,65.94,Sorghum
66.02,26.13,30.49,31.43,54.35,6.61,71.35,Sorghum
59.8,33.09,67.68,27.66,73.61,6.46,84.27,Pumpkin
52.17,34.91,27.59,27.79,53.11,7.14,66.57,Field Bean
86.25,39.14,31.05,20.34,35.5,7.15,46.41,Barley
102.08,64.36,91.83,32.83,77.85,6.59,152.63,Papaya
36.93,26.8,30.97,24.17,53.78,6.16,72.17,Niger Seed
60.34,37.32,70.42,22.61,58.32,6.44,49.17,Carrot
76.72,47.65,52.3,20.96,72.33,6.57,69.26,Cabbage
93.16,75.84,93.81,20.97,59.3,5.88,53.11,Potato
32.55,30.89,27.01,25.61,48.51,6.67,102.99,Soybean
37.46,32.03,28.89,29.19,60.1,6.83,62.03,Green Gram
80.72,51.67,63.12,30.57,50.42,6.9,61.33,Onion
34.18,34.36,31.99,31.62,53.59,6.85,87.11,Sesame
53.44,24.29,24.9,31.46,53.9,7.18,66.84,Green Gram
43.7,23.85,32.25,31.7,51.0,7.87,90.71,Sorghum
29.61,35.63,30.76,29.75,51.04,6.75,72.54,Green Gram
42.61,32.59,28.31,29.31,52.5,6.43,85.12,Black Gram
49.16,28.86,33.41,30.81,60.48,6.79,63.46,Groundnut
73.29,56.28,73.91,21.64,70.24,6.7,82.65,Tomato
113.05,58.88,105.91,25.35,91.99,6.52,326.31,Coconut
86.78,58.31,81.6,26.18,74.12,6.3,122.6,Orange
48.82,38.16,37.04,19.72,74.75,6.61,62.95,Soybean
43.29,32.62,29.99,23.67,67.72,6.31,97.61,Finger Millet
83.56,52.01,74.09,21.08,77.67,6.46,109.61,Tomato
42.02,22.86,26.28,24.25,61.61,6.7,88.56,Kodo Millet
68.65,51.98,68.65,27.83,54.35,6.43,121.43,Guava
26.66,26.09,17.72,16.33,40.46,6.89,61.7,Peas
46.0,32.96,27.16,21.78,55.54,7.02,53.75,Chickpea
77.22,35.92,23.39,20.74,38.97,6.41,30.82,Wheat
30.46,13.82,21.38,24.43,53.04,6.9,46.9,Horse Gram
103.42,52.78,47.55,31.63,85.69,5.95,179.07,Rice
70.5,48.52,65.91,17.66,62.05,6.2,115.71,Apple
54.47,33.26,27.87,36.09,38.04,6.91,75.8,Sorghum
76.12,30.06,65.52,29.16,61.17,6.17,139.4,Cashew
31.29,29.3,25.02,21.82,41.6,6.81,51.68,Linseed
84.34,44.16,93.93,30.31,74.59,5.94,247.49,Pineapple
125.74,39.66,93.88,27.02,70.92,6.4,209.83,Papaya
50.59,22.79,26.9,31.56,42.53,6.68,87.83,Groundnut
101.66,63.83,47.08,20.69,66.8,6.73,85.53,Tomato
107.21,83.82,84.24,26.94,78.73,6.56,169.72,Banana
87.6,34.26,36.23,26.04,73.27,6.21,54.08,Okra
58.75,34.09,23.54,28.63,57.11,6.25,63.76,Sunflower
52.45,30.62,34.36,24.85,50.78,6.21,52.28,Kodo Millet
69.73,27.37,25.45,19.94,53.94,6.44,50.38,Mustard
29.23,27.92,28.75,27.95,62.63,6.86,60.46,Green Gram
86.73,53.75,91.32,31.78,85.46,6.88,260.22,Coconut
108.03,52.7,101.23,23.24,72.74,5.43,63.96,Potato
43.84,34.05,26.59,32.16,32.19,7.33,79.29,Sesame
96.88,26.69,32.83,22.55,59.67,6.38,58.59,Barley
87.63,45.84,77.97,27.28,64.55,6.57,223.04,Mango
49.44,35.79,29.2,20.75,46.39,7.14,28.89,Chickpea
84.76,37.12,29.15,12.41,55.48,6.4,48.67,Wheat
105.57,58.08,89.58,23.24,62.55,6.06,62.2,Potato
118.37,44.96,54.26,27.25,91.98,6.25,243.67,Rice
62.13,32.15,24.66,19.22,52.34,6.85,90.24,Castor
74.15,52.23,72.01,27.72,59.32,6.47,65.67,Pomegranate
94.55,75.05,87.26,18.49,66.88,5.7,64.3,Potato
86.71,63.28,91.99,30.56,66.04,6.3,103.95,Papaya
56.63,30.92,20.63,18.68,60.08,7.13,58.76,Radish
72.87,41.55,87.47,17.78,53.81,6.42,130.67,Apple
82.69,41.38,88.21,11.28,56.56,6.52,143.98,Apple
96.67,61.35,143.75,25.89,75.03,6.92,105.59,Banana
88.11,58.6,53.84,28.62,72.57,6.67,186.85,Rice
46.37,33.24,23.04,23.22,53.03,6.73,95.15,Sesame
54.28,27.06,24.1,23.81,64.96,6.32,103.96,Little Millet
81.33,29.11,75.69,32.26,66.01,6.39,186.52,Cashew
111.61,71.94,137.81,26.98,87.01,6.31,155.15,Banana
58.82,34.67,61.92,19.54,49.9,6.68,49.24,Beetroot
80.56,33.43,21.92,18.25,38.06,6.9,90.1,Wheat
26.84,30.53,26.29,26.91,52.28,6.79,85.57,Horse Gram
103.43,54.66,97.66,27.02,85.84,6.27,275.04,Rubber
71.31,73.01,91.92,30.96,69.8,6.41,107.99,Tomato
42.39,28.9,36.84,27.5,60.07,6.12,89.84,Little Millet
84.23,55.47,68.2,29.02,63.05,6.64,77.82,Onion
105.33,52.94,81.71,25.75,58.36,5.59,95.25,Orange
30.41,30.93,28.9,19.37,51.01,7.32,53.21,Chickpea
37.74,24.37,30.64,28.7,52.37,6.37,97.03,Niger Seed
40.31,33.69,33.14,28.25,48.46,6.31,72.91,Sunflower
36.01,40.41,23.34,23.35,39.8,6.47,43.38,Lentil
44.66,30.78,33.42,24.49,45.92,7.38,71.01,Linseed
51.02,31.49,32.73,22.54,69.59,6.38,113.22,Soybean
87.03,59.72,90.02,27.64,70.8,6.26,101.32,Papaya
104.81,51.38,47.71,27.52,95.02,5.83,166.45,Rice
106.16,49.41,87.82,31.54,87.36,7.63,280.43,Coconut
90.15,37.33,26.21,15.45,59.46,7.18,65.75,Barley
39.54,36.47,29.79,22.25,58.58,6.72,54.94,Radish
100.23,69.56,97.91,23.12,70.01,6.77,151.62,Papaya
45.92,15.48,34.88,23.68,37.72,6.87,35.32,Safflower
71.44,27.2,27.09,25.87,66.68,6.64,72.4,Soybean
87.66,61.96,44.35,24.84,81.87,5.36,216.76,Coffee
94.8,32.86,26.32,23.54,53.73,7.37,49.82,Wheat
59.29,23.87,57.09,33.77,68.71,7.36,62.37,Pumpkin
97.98,86.39,105.86,31.89,55.08,5.16,191.85,Orange
106.98,63.38,55.14,21.42,69.16,6.5,81.23,Tomato
78.41,62.78,80.55,24.21,70.85,5.53,133.75,Pineapple
102.9,52.98,61.52,26.69,84.52,4.77,249.33,Tea
41.26,29.86,27.33,27.57,45.53,6.3,93.17,Groundnut
59.72,32.7,36.54,34.73,41.52,8.12,61.16,Sorghum
36.93,34.8,34.87,26.82,61.7,6.06,84.97,Groundnut
96.45,50.67,108.08,23.93,83.16,6.17,106.2,Papaya
88.02,45.75,56.64,18.08,63.12,6.97,51.73,Garlic
108.66,55.7,59.82,25.55,63.33,6.66,80.93,Chilli
58.99,30.27,56.15,24.27,67.84,6.28,93.78,Pumpkin
38.02,28.93,29.75,23.18,46.26,7.52,55.93,Chickpea
52.51,25.86,23.71,24.09,55.26,6.41,119.59,Finger Millet
