crop,leaf_color,spot_color,spot_size,leaf_curl,powder,stem,temperature,humidity,disease
Rice,Brown,Brown,None,No,No,Healthy,31.7,68.5,Brown Spot
Rice,Brown,Brown,Medium,No,No,Cracked,28.1,91.3,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,31.5,82.5,Brown Spot
Rice,Yellow,Brown,Medium,No,No,Healthy,23.0,98.7,Brown Spot
Rice,Brown,Brown,None,No,No,Healthy,24.1,84.5,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,25.7,87.2,Brown Spot
Rice,White,Brown,Medium,No,No,Healthy,30.7,79.9,Brown Spot
Rice,Brown,Brown,Medium,No,Yes,Rotten,21.5,70.2,Brown Spot
Rice,Brown,Brown,Medium,No,Yes,Healthy,23.5,79.6,Brown Spot
Rice,Brown,White,Medium,No,No,Healthy,18.0,76.6,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,31.1,71.4,Brown Spot
Rice,Brown,Brown,Medium,No,No,Rotten,32.9,80.3,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,29.9,75.8,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,23.4,76.5,Brown Spot
Rice,Brown,Brown,Medium,No,No,Cracked,20.0,74.3,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,20.2,92.4,Brown Spot
Rice,Brown,Black,Medium,No,No,Healthy,22.6,69.1,Brown Spot
Rice,Brown,White,Medium,No,No,Dry,26.4,76.3,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,25.8,84.8,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,37.8,97.7,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,23.0,70.6,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,18.0,81.4,Brown Spot
Rice,Brown,Yellow,Medium,No,No,Healthy,34.0,103.7,Brown Spot
Rice,Brown,Brown,Large,No,No,Healthy,34.4,78.8,Brown Spot
Rice,Yellow,Brown,Medium,No,No,Healthy,24.2,95.3,Brown Spot
Rice,Yellow,Brown,Medium,No,No,Cracked,31.5,97.1,Brown Spot
Rice,Green,Brown,Medium,No,No,Healthy,14.6,101.0,Brown Spot
Rice,Brown,White,None,No,No,Healthy,24.2,91.8,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,23.4,74.4,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,24.1,67.7,Brown Spot
Rice,Brown,Brown,Medium,No,Yes,Rotten,25.2,92.1,Brown Spot
Rice,Brown,Brown,Medium,Yes,No,Healthy,19.2,102.4,Brown Spot
Rice,Brown,Brown,None,Yes,No,Rotten,24.7,86.4,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,29.6,79.2,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,23.8,82.7,Brown Spot
Rice,Brown,White,Medium,No,No,Healthy,36.7,86.2,Brown Spot
Rice,Brown,Yellow,Medium,No,No,Healthy,36.5,71.0,Brown Spot
Rice,Brown,Brown,Medium,No,Yes,Rotten,26.6,91.7,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,30.4,90.3,Brown Spot
Rice,Brown,White,Medium,No,No,Healthy,35.1,70.8,Brown Spot
Rice,Brown,Brown,Medium,No,Yes,Healthy,29.8,102.1,Brown Spot
Rice,Brown,White,Medium,No,No,Healthy,36.8,79.5,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,33.1,75.0,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,37.5,100.6,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,33.2,74.8,Brown Spot
Rice,Brown,Brown,Medium,No,No,Cracked,27.8,69.8,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,26.1,69.7,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,24.1,104.3,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,31.8,73.9,Brown Spot
Rice,Green,Brown,Medium,No,No,Healthy,25.0,71.5,Brown Spot
Rice,Black,None,Medium,No,No,Healthy,36.4,87.4,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,30.6,74.2,Brown Spot
Rice,Brown,Black,Medium,No,No,Healthy,29.6,41.9,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,33.9,90.2,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,19.4,67.6,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,32.5,69.9,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,17.9,77.3,Brown Spot
Rice,Brown,None,Medium,No,No,Healthy,31.5,85.0,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,26.1,81.3,Brown Spot
Rice,Brown,Black,Medium,No,No,Healthy,26.3,69.6,Brown Spot
Rice,Yellow,Brown,Medium,No,No,Healthy,28.1,73.1,Brown Spot
Rice,Brown,Brown,Medium,Yes,No,Healthy,30.5,72.4,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,20.7,68.2,Brown Spot
Rice,Brown,Brown,Medium,No,No,Cracked,34.0,68.5,Brown Spot
Rice,Brown,White,Medium,Yes,No,Healthy,35.5,87.8,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,21.1,75.2,Brown Spot
Rice,Brown,Brown,Medium,No,No,Rotten,29.4,96.3,Brown Spot
Rice,Black,Brown,Medium,No,No,Healthy,24.3,88.2,Brown Spot
Rice,White,Brown,Medium,No,No,Healthy,24.2,70.5,Brown Spot
Rice,Yellow,Brown,None,No,No,Healthy,36.3,78.8,Brown Spot
Rice,Brown,Brown,Medium,No,No,Cracked,28.0,91.3,Brown Spot
Rice,Brown,Brown,Medium,No,No,Cracked,18.6,79.7,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,35.4,73.1,Brown Spot
Rice,Brown,Yellow,Medium,No,No,Healthy,21.6,58.4,Brown Spot
Rice,Brown,None,Medium,No,No,Healthy,27.8,97.9,Brown Spot
Rice,Brown,Brown,Medium,No,Yes,Healthy,19.3,74.3,Brown Spot
Rice,Brown,Yellow,Large,No,No,Healthy,20.5,26.3,Brown Spot
Rice,Brown,Yellow,Medium,No,No,Healthy,18.7,81.9,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,23.4,65.6,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,26.9,90.3,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,27.5,78.5,Brown Spot
Rice,Brown,Brown,Medium,Yes,Yes,Healthy,19.0,95.8,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,32.4,73.0,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,36.4,78.7,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,37.2,72.5,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,26.5,93.8,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,27.8,87.9,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,36.3,66.8,Brown Spot
Rice,Green,Brown,Medium,No,Yes,Healthy,16.0,103.0,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,37.2,73.3,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,23.4,77.2,Brown Spot
Rice,Yellow,Brown,Medium,No,Yes,Healthy,27.4,79.6,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,32.7,97.6,Brown Spot
Rice,Green,Yellow,Medium,No,No,Healthy,30.2,72.6,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,24.5,102.2,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,27.6,72.1,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,18.3,67.3,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,23.4,102.8,Brown Spot
Rice,Brown,White,Medium,No,No,Healthy,21.7,89.2,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,26.8,75.9,Brown Spot
Rice,Brown,Brown,Medium,No,No,Cracked,24.1,88.0,Brown Spot
Rice,Black,Brown,Medium,No,No,Healthy,36.6,59.6,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,11.6,81.2,Brown Spot
Rice,Brown,Yellow,Small,No,No,Healthy,29.9,89.3,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,18.6,70.8,Brown Spot
Rice,White,Brown,Medium,No,No,Healthy,37.1,94.3,Brown Spot
Rice,Green,Brown,Medium,No,No,Healthy,19.9,81.7,Brown Spot
Rice,Yellow,Brown,Medium,No,No,Healthy,29.1,72.1,Brown Spot
Rice,Brown,Brown,None,No,No,Healthy,25.9,81.6,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,37.2,84.2,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,33.4,75.8,Brown Spot
Rice,Brown,Brown,Medium,No,Yes,Healthy,27.3,84.2,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,36.4,96.9,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,28.3,101.9,Brown Spot
Rice,Brown,Brown,Medium,Yes,No,Cracked,18.8,81.6,Brown Spot
Rice,Brown,None,Medium,No,No,Healthy,27.1,73.3,Brown Spot
Rice,Black,Brown,Medium,No,No,Healthy,35.6,72.3,Brown Spot
Rice,Brown,Brown,Medium,No,No,Cracked,18.5,77.1,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,23.1,97.0,Brown Spot
Rice,Brown,Brown,Medium,No,Yes,Healthy,21.5,89.3,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,22.6,75.7,Brown Spot
Rice,Brown,Brown,Medium,Yes,No,Healthy,30.8,83.7,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,20.4,71.5,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,22.6,94.9,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,27.6,87.8,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,33.5,83.2,Brown Spot
Rice,Green,White,Medium,No,No,Healthy,21.0,88.1,Brown Spot
Rice,Brown,White,Medium,No,No,Healthy,36.8,90.7,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,30.5,79.1,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,30.9,86.7,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,29.7,102.0,Brown Spot
Rice,Brown,Brown,Small,No,No,Healthy,18.6,82.6,Brown Spot
Rice,Brown,Brown,Medium,No,No,Rotten,29.4,91.7,Brown Spot
Rice,Black,Brown,Medium,No,No,Healthy,30.0,82.2,Brown Spot
Rice,Brown,Brown,Large,No,No,Healthy,32.5,84.0,Brown Spot
Rice,Brown,None,Medium,No,No,Rotten,24.2,68.6,Brown Spot
Rice,Brown,Black,None,No,No,Healthy,33.4,88.4,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,32.3,94.9,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,30.4,77.5,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,23.9,67.3,Brown Spot
Rice,Brown,Brown,Large,No,No,Healthy,22.2,87.7,Brown Spot
Rice,Green,Brown,None,No,No,Healthy,20.5,86.8,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,34.2,60.5,Brown Spot
Rice,Green,Brown,Medium,No,No,Healthy,26.9,87.0,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,19.6,71.3,Brown Spot
Rice,Brown,None,Medium,No,No,Healthy,37.1,74.3,Brown Spot
Rice,Brown,Brown,None,No,No,Cracked,17.9,72.2,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,23.0,101.5,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,20.6,97.5,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,25.2,94.4,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,29.6,89.4,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,25.1,72.7,Brown Spot
Rice,Brown,White,Medium,No,No,Healthy,33.0,71.5,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,26.5,48.3,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,19.4,100.6,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,19.0,82.5,Brown Spot
Rice,Brown,Brown,Medium,No,No,Rotten,19.8,77.4,Brown Spot
Rice,Brown,Brown,Medium,No,No,Rotten,23.6,89.0,Brown Spot
Rice,Yellow,Brown,Medium,No,No,Cracked,24.1,76.4,Brown Spot
Rice,Brown,White,Medium,No,No,Healthy,36.1,73.7,Brown Spot
Rice,Brown,Brown,Medium,Yes,No,Healthy,20.8,82.0,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,24.8,100.4,Brown Spot
Rice,Black,Brown,Medium,No,No,Healthy,36.9,91.9,Brown Spot
Rice,Brown,Brown,Medium,Yes,No,Healthy,31.2,74.1,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,36.5,70.0,Brown Spot
Rice,Brown,None,Medium,No,No,Healthy,31.3,77.9,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,28.5,78.4,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,35.0,37.2,Brown Spot
Rice,Brown,Black,Medium,No,No,Healthy,24.9,73.2,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,34.2,89.6,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,21.3,92.5,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,37.2,87.1,Brown Spot
Rice,Brown,Brown,Large,No,No,Healthy,33.6,103.1,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,22.1,66.8,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,23.0,86.7,Brown Spot
Rice,Green,Brown,Small,No,No,Healthy,30.5,41.0,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,34.5,89.3,Brown Spot
Rice,White,None,Medium,No,No,Healthy,21.0,103.7,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,23.2,91.1,Brown Spot
Rice,Brown,Brown,Medium,No,No,Cracked,30.1,90.0,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,34.8,78.3,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,22.0,82.3,Brown Spot
Rice,Brown,Brown,Large,No,No,Healthy,18.6,94.4,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,30.4,71.7,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,31.9,95.0,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,17.9,78.9,Brown Spot
Rice,Yellow,Brown,Medium,No,No,Healthy,24.9,77.2,Brown Spot
Rice,Brown,Brown,Small,No,No,Healthy,21.9,94.7,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,36.5,77.8,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,34.3,91.2,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,19.9,85.0,Brown Spot
Rice,Brown,Brown,Medium,Yes,No,Healthy,21.1,83.9,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,27.5,81.7,Brown Spot
Rice,Green,Brown,Medium,No,No,Healthy,33.5,86.4,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,26.2,83.2,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,36.3,85.9,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,26.1,85.9,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,20.8,95.7,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,24.8,101.4,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,35.6,78.0,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,25.6,99.7,Brown Spot
Rice,Yellow,Brown,Medium,No,No,Healthy,32.2,75.0,Brown Spot
Rice,Green,Brown,Medium,No,No,Healthy,22.3,79.0,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,36.9,81.9,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,35.2,83.4,Brown Spot
Rice,Brown,Black,Medium,No,No,Healthy,20.3,76.9,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,33.0,88.3,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,34.4,69.0,Brown Spot
Rice,Brown,White,Medium,No,No,Healthy,19.6,81.0,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,33.2,70.2,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,12.1,97.2,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,28.9,74.7,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,29.8,90.7,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,22.6,50.6,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,23.0,84.9,Brown Spot
Rice,Brown,Brown,Medium,Yes,No,Healthy,20.9,75.2,Brown Spot
Rice,Brown,None,Medium,No,No,Healthy,34.2,72.4,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,36.2,98.1,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,27.1,78.4,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,31.5,71.0,Brown Spot
Rice,Brown,Brown,Medium,No,No,Dry,24.0,103.6,Brown Spot
Rice,Brown,Brown,Medium,Yes,No,Healthy,22.1,88.5,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,28.8,72.6,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,24.5,78.0,Brown Spot
Rice,Black,Brown,Medium,No,No,Healthy,19.9,65.5,Brown Spot
Rice,Brown,Black,Medium,No,No,Healthy,34.6,90.9,Brown Spot
Rice,Brown,Brown,Medium,No,No,Rotten,35.1,71.8,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,20.6,82.4,Brown Spot
Rice,Brown,Yellow,Medium,No,No,Healthy,25.4,20.3,Brown Spot
Rice,Brown,Black,Medium,No,No,Dry,36.8,84.0,Brown Spot
Rice,White,Brown,Medium,No,No,Healthy,21.4,67.2,Brown Spot
Rice,White,Brown,Medium,No,No,Cracked,28.3,103.4,Brown Spot
Rice,Brown,Brown,Small,No,No,Healthy,23.6,65.7,Brown Spot
Rice,Brown,White,Medium,No,No,Healthy,36.9,103.4,Brown Spot
Rice,Brown,Brown,Large,No,No,Healthy,24.0,93.9,Brown Spot
Rice,Brown,Brown,None,No,No,Healthy,27.9,81.9,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,28.2,78.9,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,31.3,67.0,Brown Spot
Rice,Yellow,Brown,Medium,No,No,Healthy,23.2,84.7,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,29.5,69.0,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,19.0,93.2,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,18.4,67.5,Brown Spot
Rice,Brown,Black,Medium,No,No,Healthy,26.4,103.0,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,20.9,87.8,Brown Spot
Rice,Brown,Brown,Medium,No,No,Dry,32.7,65.8,Brown Spot
Rice,Brown,Brown,Large,No,No,Dry,26.0,80.2,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,28.7,88.7,Brown Spot
Rice,Brown,Brown,Large,No,No,Healthy,36.3,90.9,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,30.5,104.4,Brown Spot
Rice,Brown,Brown,Small,No,No,Healthy,22.1,86.4,Brown Spot
Rice,Green,Brown,Medium,No,No,Dry,31.9,87.3,Brown Spot
Rice,White,Brown,Medium,No,No,Healthy,22.8,77.0,Brown Spot
Rice,Brown,Black,Medium,No,Yes,Healthy,31.0,86.2,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,34.6,72.5,Brown Spot
Rice,Brown,Brown,Medium,Yes,No,Healthy,32.7,84.6,Brown Spot
Rice,Brown,Brown,Medium,No,No,Dry,32.0,102.6,Brown Spot
Rice,Brown,White,Medium,No,No,Rotten,20.3,80.5,Brown Spot
Rice,Black,Brown,Medium,No,No,Healthy,24.4,100.7,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,21.0,90.1,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,31.2,81.8,Brown Spot
Rice,Green,Brown,Medium,No,No,Healthy,30.7,76.0,Brown Spot
Rice,Brown,Brown,Medium,No,Yes,Healthy,29.6,95.8,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,17.8,91.7,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,22.7,74.5,Brown Spot
Rice,Brown,Brown,Medium,Yes,No,Healthy,23.8,94.3,Brown Spot
Rice,Brown,Brown,Large,No,No,Healthy,33.6,72.6,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,31.3,67.8,Brown Spot
Rice,Yellow,Brown,Medium,Yes,No,Healthy,24.7,66.6,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,23.9,93.0,Brown Spot
Rice,Brown,Brown,None,No,Yes,Rotten,26.2,93.8,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,19.2,84.7,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,33.4,83.0,Brown Spot
Rice,Brown,Brown,Medium,No,Yes,Healthy,17.8,69.0,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,33.7,98.4,Brown Spot
Rice,Brown,Brown,Medium,Yes,No,Healthy,17.8,79.4,Brown Spot
Rice,Black,Brown,Small,No,No,Healthy,31.8,69.7,Brown Spot
Rice,Brown,Brown,Small,No,No,Healthy,35.8,98.2,Brown Spot
Rice,Yellow,Brown,Medium,No,No,Healthy,36.0,98.2,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,29.6,78.1,Brown Spot
Rice,Brown,Yellow,Small,No,No,Healthy,33.4,70.9,Brown Spot
Rice,White,Brown,Medium,No,No,Healthy,24.5,91.7,Brown Spot
Rice,White,Brown,None,No,No,Healthy,29.1,102.3,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,30.8,73.3,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,26.6,89.5,Brown Spot
Rice,Brown,Brown,None,No,No,Healthy,31.3,67.3,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,33.0,99.4,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,36.6,77.0,Brown Spot
Rice,Brown,Brown,Medium,No,No,Dry,20.3,88.3,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,27.3,87.8,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,28.2,69.1,Brown Spot
Rice,Yellow,Black,Medium,No,No,Healthy,20.0,79.0,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,31.9,66.5,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,19.4,69.2,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,34.0,73.5,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,31.7,67.0,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,23.9,77.6,Brown Spot
Rice,Black,Brown,Medium,No,No,Healthy,23.4,92.2,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,25.4,96.6,Brown Spot
Rice,Brown,Brown,Medium,No,No,Rotten,20.2,65.7,Brown Spot
Rice,Brown,Brown,Large,No,No,Healthy,20.9,74.1,Brown Spot
